epoch_utc,withheld,dx_m,dy_m,dz_m,position_norm_m,dvx_m_s,dvy_m_s,dvz_m_s,oem_interpolation_error_m
2026-05-03T12:00:11.100Z,0,13.485117498021282,-10.957425771721319,-4.062101193447631,17.844165421336772,0.04491161499475815,0.04365050313603902,-0.038979580614828535,0.0036585043367378545
2026-05-03T12:01:11.100Z,0,12.25845756016497,-8.247644111634145,-5.1903359836842355,15.659917074175919,-0.006833537709693971,-0.03010985002149802,0.0058933771098779175,0.0013128212891834012
2026-05-03T12:02:11.100Z,0,14.192567788086308,-9.20732968052107,-5.092294676956044,17.667353093833388,-0.06344679177550105,0.005133588566019753,-0.0217226576095797,0.0023435452895418313
2026-05-03T12:03:11.100Z,0,16.179209282199736,-7.801300545906997,-5.520807462744415,18.79112605049206,-0.055354251905059826,0.01222648915233382,-0.031529917243311445,0.005380686187914939
2026-05-03T12:04:11.100Z,0,17.421349882170034,-7.188634606791311,-6.103333353394191,19.809860606516075,-0.045755111228729106,0.03570982577627557,0.0044087626323019435,0.0024925326361045354
2026-05-03T12:05:11.100Z,0,17.465377407461347,-5.902177093048522,-5.796429935799097,19.32546771551457,-0.0528189111110855,0.013956438105311442,-0.0661139213740114,0.0033615553685980115
2026-05-03T12:06:11.100Z,0,18.27858701108198,-5.859195010543772,-6.552742194344319,20.28238988775278,0.005951960484029684,-0.00032235688846027344,-0.06980619638152774,0.003433459307452514
2026-05-03T12:07:11.100Z,0,15.935194070152647,-1.9262132118456066,-7.712268589330051,17.807857652870084,-0.007687398533295919,-0.012449777432789466,-0.07525814318576352,0.0011498354345650507
2026-05-03T12:08:11.100Z,0,18.765257281302183,-2.3134013472372317,-7.90797895842843,20.494458710437083,-0.02645931242373223,0.049603984048129934,-0.035275852964922194,0.004407483905063458
2026-05-03T12:09:11.100Z,0,21.430533855891554,-3.278909337495861,-6.940202392343053,22.763686806813958,0.006687945391270489,-0.011006315138728517,-0.07585042323299263,0.0004230787255983413
2026-05-03T12:10:11.100Z,0,23.968660816535703,-3.161401629768079,-6.556838577125745,25.04961663837031,0.024543318200009878,0.000888875134386069,-0.004336794237502772,0.004284905004567365
2026-05-03T12:11:11.100Z,0,25.72649140165595,-2.257495602407289,-6.086083498303196,26.532792136951667,-0.026225948483116213,0.011249990926498477,-0.009355068256056143,0.0006293753638586993
2026-05-03T12:12:11.100Z,0,25.200262123689754,-1.546297480672365,-7.469018417396001,26.32927046313298,0.051611403673490486,0.06777967909177285,0.07571596651345658,0.003604836533160467
2026-05-03T12:13:11.100Z,0,27.117949849525758,-0.48712459329181,-4.828295086554135,27.548737318679898,0.03412563678839575,-0.013708793439981548,0.030880773291386276,0.002810460146739835
2026-05-03T12:14:11.100Z,0,26.542466354385397,0.3568827223716653,-6.207112774063717,27.26092688154886,0.07971545108720335,-0.061690495407829005,0.012824362690899704,0.0008825921658152268
2026-05-03T12:15:12.100Z,0,29.07569730268733,-2.078310991237231,-4.780869769092533,29.539334216647806,0.03250163618151447,0.02281938999293409,0.005522760824661077,0.007671436672230712
2026-05-03T12:16:11.100Z,0,29.92200052995031,-1.1807588780357037,-4.559469360174262,30.290412147885586,0.012184275029802905,0.01803779837872277,-0.0360469835669619,0.0014347989387450582
2026-05-03T12:17:11.100Z,0,31.371577415484353,-1.38561039761953,-3.7063731006128364,31.62013578830214,0.03132402444272486,0.0476052273574723,-0.0012298321552250968,0.0023953247539823287
2026-05-03T12:18:11.100Z,0,32.226285577053204,-0.31041359306982486,-2.7853820010932395,32.347924069166545,0.012696428272285232,0.016646640479400787,0.02862936472824984,0.0017296422426764898
2026-05-03T12:19:11.100Z,0,33.43175445456836,0.6044961144198169,-0.6237813522602664,33.44303701278231,0.008477330546874384,0.020147652815438732,0.030509867042116667,0.0015998158316149183
2026-05-03T12:20:11.100Z,0,32.282364722959755,2.102388003095257,-6.56201112724375,33.009560697710384,-0.00602758913448298,-0.002097255338728843,-0.037768378557734295,0.0003577729402697164
2026-05-03T12:21:11.100Z,0,33.73155835993202,0.347191734590524,0.09256244720745599,33.733472090739504,0.0008456882332197324,-0.010449543167645459,0.02114144883358371,0.0010689969805350876
2026-05-03T12:22:11.100Z,0,35.075939426690184,0.14880697949593014,-0.4456968144950224,35.079086587772444,-0.04147124715814243,0.009746678873323589,0.14148506095557067,0.0034678839176768453
2026-05-03T12:23:11.100Z,0,35.64364224442329,-1.333834981551263,1.438939599211153,35.69760349626602,-0.005238397177365073,-0.022856379212399247,0.02785122022874731,0.004311475505684152
2026-05-03T12:24:11.100Z,0,35.43759371785882,-0.4681381884665825,2.548873974774324,35.53222425369413,-0.03906349692162081,-0.014578700913148168,-0.06681656239466288,0.0013716628769648443
2026-05-03T12:25:11.100Z,0,35.46981901797608,0.12413392732923967,4.1054619796341285,35.706838119135014,-0.025498132454337963,-0.02199302598748787,0.05400100341851344,0.0005255835086859496
2026-05-03T12:26:11.100Z,0,34.99736955109256,0.5005819124335176,6.969254905015987,35.688050824861335,0.03047458335547759,0.012300861237601879,-0.006950938151173425,0.0017885546578868998
2026-05-03T12:27:11.100Z,0,34.83665658154678,0.3261352367189829,6.344319411255128,35.411147888275025,-0.013981727416734202,-0.019246961760366332,0.017773281654864803,0.000789445054867659
2026-05-03T12:28:13.100Z,0,34.25093658688638,-0.12304949805042042,8.362686794498586,35.257287596761664,-0.07527913666205421,0.04963345866837443,0.16596747606856255,0.006178684618628104
2026-05-03T12:29:11.100Z,0,32.942955354428705,0.4624959528598538,10.931749980045424,34.712467034431846,-0.04783097040839124,-0.019402224137099466,0.11514260553102673,0.000703403218720235
2026-05-03T12:30:13.100Z,0,31.674453977757366,-0.05988289694869309,12.232230538756994,33.95441185919314,-0.007742158743440086,0.04116298895073811,0.08679923680388058,0.006055083320064847
2026-05-03T12:31:11.100Z,0,33.86166407244673,-0.8653996432030908,13.94807943052001,36.632091533214165,-0.016436602852110127,-0.013220676868819226,-0.0626740234106471,0.003156364446221795
2026-05-03T12:32:11.100Z,0,31.05836258328054,0.2059266025753459,11.052897142690199,32.967117365142165,-0.03248755104134915,-0.004937398009996485,0.03493714948055171,0.00012810964875155427
2026-05-03T12:33:11.100Z,0,30.09608473666958,0.25289065501965524,11.04561374631885,32.06000394873743,-0.011879804300285457,-0.0380101898573848,-0.009766810593170305,0.0009172520721585535
2026-05-03T12:34:11.100Z,0,28.245699768376653,0.6334288013931655,10.980531467794208,30.311596110513978,0.024445872472078634,-0.0496687639790494,-0.03761247279232549,0.0023291330369136364
2026-05-03T12:35:11.100Z,0,27.190682343643857,-0.09861200260274927,10.6296963758723,29.194749111496677,-0.004668729209456046,-0.02280494131179367,-0.06640507426247666,0.006159267857155798
2026-05-03T12:36:11.100Z,0,26.17050069693505,-0.6543377858179156,9.109238647397433,27.718251990366674,-0.023769810295171112,-0.026467919836736797,0.04397427635716156,0.0025178760386907113
2026-05-03T12:37:11.100Z,0,25.61559854893858,-1.1992167851531121,8.096610717075237,26.891487780002706,6.373260097447542e-05,-0.05308209992183066,-0.023016513342355438,0.0033204540993841463
2026-05-03T12:38:11.100Z,0,24.72603639216686,-0.573996874209115,10.772145641567477,26.976757955720014,0.019654053386553016,-0.029602698016883977,-0.03428985022235764,7.811202645712474e-05
