satellite,contact_id,station,start_utc_s,end_utc_s,observations,batch_offset_s,batch_offset_std_s,batch_frequency_bias_hz,batch_condition,batch_rank,batch_at_bound,batch_healthy,in_pass_prior_fixes,in_pass_prior_best_km,in_pass_prior_median_km,in_pass_prior_p90_km,in_pass_prior_worst_km,in_pass_prior_rms_km,in_pass_batch_fixes,in_pass_batch_best_km,in_pass_batch_median_km,in_pass_batch_p90_km,in_pass_batch_worst_km,in_pass_batch_rms_km
FOREST-16,e5d79f0b-730b-4832-becf-f716d7322784,PUNTA_ARENAS,1777822935.405285,1777823399.655731,340,3.7699129155484776,1.5938329471406811,975.1381737014065,3.1787705898044565,2,False,True,6,9.26015260610771,9.31043794724118,9.34389351338773,9.349453172377542,9.309157091961433,6,19.11156967984535,19.15447413981539,19.19732355725504,19.212489182789763,19.156562085162044
FOREST-16,33061519-fa11-49e4-becd-6c770efd6e11,SVALSAT,1777854410.187208,1777854992.536875,475,2.281825855467873,0.74598812489061,648.128327219715,2.897891514748266,2,False,True,1,18.16635229061981,18.16635229061981,18.16635229061981,18.16635229061981,18.16635229061981,1,1.014236929240361,1.014236929240361,1.014236929240361,1.014236929240361,1.014236929240361
FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,PUNTA_ARENAS,1777862359.219744,1777862996.5238569,401,3.197873916939136,0.9393951546153176,729.8130679846337,3.635859892664164,2,False,True,11,21.0522682879553,21.1402658435308,21.182288198950726,21.189055952485088,21.13257476311278,11,2.9776941140437674,3.0134519445021715,3.0730506451966777,3.0926698832287123,3.0222481788933777
FOREST-17,2610bd5f-3a3f-4756-be38-d31392d4324c,HARTEBEESTHOEK,1777838643.162277,1777839239.537732,349,-4.135697065127946,2.1103180386117324,-929.8994330315712,5.626164279211204,2,False,True,7,6.383793246706338,6.3950857702494766,6.396628210653864,6.3971806995032185,6.392938487519892,7,24.84919758434949,24.85577728130217,24.86806871876748,24.871769175034505,24.858297283728394
FOREST-17,36c92afa-8853-4630-a788-ad2e63912d51,TROLL,1777845274.185557,1777845864.590709,370,-0.441063265943708,1.1163939117664061,71.97295228550098,2.9514071979663656,2,False,True,10,7.123283306985276,7.186209699729114,7.236488516038728,7.24849720792741,7.185836098609144,10,3.7945356484691706,3.8574238914078327,3.907361113243214,3.919227560075571,3.8570486689955428
FOREST-17,d623db96-56fd-4783-9f1e-bf3933f4dbd8,PUNTA_ARENAS,1777856804.1767988,1777857228.439478,344,-0.5086520483805009,3.4013953877676983,755.4267061007951,9.269235952889403,2,False,True,5,8.274697218512983,8.336725343213235,8.446588928081376,8.496767866032929,8.35720036120308,5,4.437696244760506,4.499702101921929,4.609193698544614,4.659145824062686,4.520361047939642
FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,PUNTA_ARENAS,1777828735.4406278,1777829281.741531,471,0.1124594993088363,2.880723205991843,944.2814808681679,4.490051783238561,2,False,True,9,9.941601306060514,9.976358126569039,9.985338495390733,9.985399142913787,9.972394048524091,9,10.79005980792397,10.825809886134873,10.834515413134671,10.834550764671423,10.821364271889852
FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,TROLL,1777839505.198752,1777840099.5466359,341,-2.207008934592969,0.7192194222696044,128.81010968605014,3.5078890579460595,2,False,True,10,15.121492087712431,15.349585337786758,15.470591934885984,15.492829481916695,15.33275840352912,10,1.1883770545544112,1.376981683385441,1.5925481856921089,1.653412494799185,1.4031521884773779
FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,SVALSAT,1777842796.0510669,1777843420.437676,336,-2.541022119061809,2.3016249974722083,165.12242719815106,3.6602544729903825,2,False,True,4,14.43330186772401,14.463048590682204,14.492899727990103,14.500749770973044,14.465059297160588,4,4.736111908291958,4.768867400457262,4.79068111646571,4.795597112162793,4.767413192552429
FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,SVALSAT,1777848559.221401,1777849258.6674368,339,-2.2329643985300334,1.113730774415455,-45.20142551526909,2.6326719888630556,2,False,True,3,16.722016758599846,16.744291818269637,16.766232420067944,16.77171757051752,16.746021052133266,3,0.28757881208310326,0.3073251924913507,0.3260326461655953,0.33070950958415646,0.3090410581289418
