satellite,contact_id,station,tle_role,tle_epoch_utc,tle_line1,tle_line2,raw_start_utc,raw_end_utc,raw_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,presented_start_utc,presented_end_utc,presented_doppler_measurements,estimator_eligible,estimator_exclusion_reason,gps_fixes_in_presented_window,primary_accuracy_eligible,primary_exclusion_reason,batch_healthy,batch_offset_s,batch_offset_std_s,batch_frequency_bias_hz,batch_condition,batch_rank,batch_at_bound,prior_median_error_km,prior_rms_error_km,batch_median_error_km,batch_rms_error_km
FOREST-16,33061519-fa11-49e4-becd-6c770efd6e11,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T00:23:14.048872+00:00,2026-05-04T00:40:56.689500+00:00,2863,1048,475,475,2026-05-04T00:26:50.187208+00:00,2026-05-04T00:36:32.536875+00:00,475,True,,1,False,fewer_than_5_same_pass_gps_fixes,True,2.281825855467873,0.74598812489061,648.128327219715,2.897891514748266,2,False,18.16635229061981,18.16635229061981,1.014236929240361,1.014236929240361
FOREST-16,85ec563d-ecb0-4c0b-9b2d-eeb9cec80587,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T01:58:43.060348+00:00,2026-05-04T02:16:21.696483+00:00,2843,1042,6,6,2026-05-04T02:01:32.182395+00:00,2026-05-04T02:01:37.178550+00:00,6,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,PUNTA_ARENAS,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T02:35:53.050254+00:00,2026-05-04T02:53:42.663590+00:00,2912,1070,405,405,2026-05-04T02:39:19.219744+00:00,2026-05-04T02:49:56.523857+00:00,401,True,,11,True,,True,3.197873916939136,0.9393951546153176,729.8130679846337,3.635859892664164,2,False,21.1402658435308,21.13257476311278,3.0134519445021715,3.0222481788933777
FOREST-17,c12b9960-e925-4286-9cd1-6a887d4e8289,SVALSAT,recorded_only,2026-05-03T09:21:23.693184Z,1 90917U 00000AAA 26123.38985756  .00000000  00000-0  15851-2 0  9993,2 90917  97.7557  21.4315 0006146 306.8621   5.1791 14.90827857    01,2026-05-03T09:40:38.191475+00:00,2026-05-03T10:09:32.948508+00:00,4150,1709,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,75d4144d-d3fc-4e18-8f14-b17da65092cb,AWARUA,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T10:30:06.106340+00:00,2026-05-03T10:42:51+00:00,2295,765,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,118e1a7d-4ae2-4982-a40b-7d6eb0ead2e4,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T10:36:52.106507+00:00,2026-05-03T11:06:10.080052+00:00,3689,1464,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,dc06b459-269d-446a-97ef-9b6febcd8679,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T11:27:41.154902+00:00,2026-05-03T11:38:44+00:00,1979,658,247,247,2026-05-03T11:28:51.196429+00:00,2026-05-03T11:38:13.465414+00:00,247,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,0a2e4679-2976-4bed-bd7a-ffd4f45e0a60,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T12:22:12+00:00,2026-05-03T12:35:06.543016+00:00,2085,655,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,6569e3a1-7aa1-4ff3-a2c0-cd1cd88fd85a,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T12:56:30.150282+00:00,2026-05-03T13:22:38.992042+00:00,3617,1525,213,213,2026-05-03T13:07:21.493384+00:00,2026-05-03T13:14:53.798579+00:00,213,False,fewer_than_301_presented_doppler_measurements,8,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,4ef3b909-6d7f-460d-bf48-41aed65abf0a,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T13:48:19.093456+00:00,2026-05-03T14:17:19.125152+00:00,3659,1458,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,5233c319-41fd-4896-847f-112ddfe9c56d,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T16:58:11.141154+00:00,2026-05-03T17:26:34.092114+00:00,3550,1422,264,264,2026-05-03T17:10:33.509256+00:00,2026-05-03T17:18:29.828082+00:00,264,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,74df0163-cf66-41f9-b960-409fca756c93,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T17:50:30.174645+00:00,2026-05-03T18:16:35.006705+00:00,3680,1558,51,51,2026-05-03T18:01:08.495501+00:00,2026-05-03T18:02:21.531640+00:00,51,False,fewer_than_301_presented_doppler_measurements,1,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,2610bd5f-3a3f-4756-be38-d31392d4324c,HARTEBEESTHOEK,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T20:03:32.133648+00:00,2026-05-03T20:20:55.764887+00:00,2834,1044,368,368,2026-05-03T20:04:03.162277+00:00,2026-05-03T20:13:59.537732+00:00,349,True,,7,True,,True,-4.135697065127946,2.1103180386117324,-929.8994330315712,5.626164279211204,2,False,6.3950857702494766,6.392938487519892,24.85577728130217,24.858297283728394
FOREST-17,36c92afa-8853-4630-a788-ad2e63912d51,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T21:51:59.119639+00:00,2026-05-03T22:09:43.700544+00:00,2544,889,370,370,2026-05-03T21:54:34.185557+00:00,2026-05-03T22:04:24.590709+00:00,370,True,,10,True,,True,-0.441063265943708,1.1163939117664061,71.97295228550098,2.9514071979663656,2,False,7.186209699729114,7.185836098609144,3.8574238914078327,3.8570486689955428
FOREST-17,d61bfc77-1d1c-4e82-91fd-6e7489e73cb3,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T22:48:07.142387+00:00,2026-05-03T23:05:54.694529+00:00,2859,1046,103,103,2026-05-03T22:50:05.198813+00:00,2026-05-03T22:53:09.312098+00:00,103,False,fewer_than_301_presented_doppler_measurements,2,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,d623db96-56fd-4783-9f1e-bf3933f4dbd8,PUNTA_ARENAS,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-04T01:02:54.061707+00:00,2026-05-04T01:18:41.547445+00:00,2545,947,344,344,2026-05-04T01:06:44.176799+00:00,2026-05-04T01:13:48.439478+00:00,344,True,,5,True,,True,-0.5086520483805009,3.4013953877676983,755.4267061007951,9.269235952889403,2,False,8.336725343213235,8.35720036120308,4.499702101921929,4.520361047939642
FOREST-17,01448cbd-3659-4184-89c2-7883e4a3c6c7,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-04T01:59:41.097891+00:00,2026-05-04T02:17:24.702523+00:00,2843,1040,62,62,2026-05-04T02:02:09.187411+00:00,2026-05-04T02:03:18.224597+00:00,62,False,fewer_than_301_presented_doppler_measurements,1,False,not_estimator_eligible,,,,,,,,,,,
FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-04T03:35:06.058524+00:00,2026-05-04T03:52:44.796130+00:00,2836,1039,240,240,2026-05-04T03:37:43.144481+00:00,2026-05-04T03:48:32.569257+00:00,240,False,fewer_than_301_presented_doppler_measurements,6,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,53eafac8-7eae-4d9b-8adc-9066c668410c,SVALSAT,recorded_only,2026-05-03T09:22:38.792928Z,1 90918U 00000AAA 26123.39072677  .00000000  00000-0  15851-2 0  9994,2 90918  97.7530  21.4346 0000636 150.6099 166.1032 14.92314271    08,2026-05-03T09:40:41.120205+00:00,2026-05-03T10:09:27.977468+00:00,4111,1692,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,3ccef2f9-751b-4153-b810-267dd4c64a31,AWARUA,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T10:30:02.157114+00:00,2026-05-03T10:32:25+00:00,429,143,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,ca8d1c55-2725-4217-bc02-13672ceec9ae,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T11:18:07.087341+00:00,2026-05-03T11:45:43.995110+00:00,3930,1637,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,a1bdfcbb-ff7d-47af-8ba1-7fb37ee15e65,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T11:31:17+00:00,2026-05-03T11:38:32+00:00,1228,396,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,6d7785df-a7a7-4963-8fcc-bdebf3a6dc80,TROLL,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T12:22:00.107874+00:00,2026-05-03T12:34:55+00:00,2323,774,72,72,2026-05-03T12:24:13.202667+00:00,2026-05-03T12:34:40.516597+00:00,71,False,fewer_than_301_presented_doppler_measurements,10,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,f1550be3-6ca0-48b2-bd87-da21c1e885b6,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T12:56:19.140207+00:00,2026-05-03T13:22:20.084922+00:00,3636,1538,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,a5dc9c5c-0fb7-4bc9-9ba3-89a37ff6fac1,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T13:06:52+00:00,2026-05-03T13:17:49.469197+00:00,1756,628,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,b2015720-f0bb-48e7-b19a-131a592c9501,PUNTA_ARENAS,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T13:56:45.053388+00:00,2026-05-03T14:22:37.918427+00:00,3608,1525,29,29,2026-05-03T14:08:47.471582+00:00,2026-05-03T14:10:39.528736+00:00,29,False,fewer_than_301_presented_doppler_measurements,2,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,PUNTA_ARENAS,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T17:07:14.061741+00:00,2026-05-03T17:35:22.002084+00:00,4017,1663,487,487,2026-05-03T17:18:55.440628+00:00,2026-05-03T17:28:01.741531+00:00,471,True,,9,True,,True,0.1124594993088363,2.880723205991843,944.2814808681679,4.490051783238561,2,False,9.976358126569039,9.972394048524091,10.825809886134873,10.821364271889852
FOREST-18,6c22b929-f451-4e3f-bc5d-fc4e230c6c02,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T17:50:01.097961+00:00,2026-05-03T18:15:55.085095+00:00,3624,1535,32,32,2026-05-03T18:00:37.493457+00:00,2026-05-03T18:01:43.556265+00:00,32,False,fewer_than_301_presented_doppler_measurements,1,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,5f62261f-f193-475b-ad2d-94a8b9fd0e75,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T18:00:19+00:00,2026-05-03T18:10:18.481309+00:00,1676,581,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,TROLL,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T20:15:20.081551+00:00,2026-05-03T20:33:08.697798+00:00,2557,892,341,341,2026-05-03T20:18:25.198752+00:00,2026-05-03T20:28:19.546636+00:00,341,True,,10,True,,True,-2.207008934592969,0.7192194222696044,128.81010968605014,3.5078890579460595,2,False,15.349585337786758,15.33275840352912,1.376981683385441,1.4031521884773779
FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T21:12:35.105666+00:00,2026-05-03T21:24:38+00:00,2117,697,339,339,2026-05-03T21:13:16.051067+00:00,2026-05-03T21:23:40.437676+00:00,336,True,,4,False,fewer_than_5_same_pass_gps_fixes,True,-2.541022119061809,2.3016249974722083,165.12242719815106,3.6602544729903825,2,False,14.463048590682204,14.465059297160588,4.768867400457262,4.767413192552429
FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T22:47:18.129477+00:00,2026-05-03T23:04:57.723599+00:00,2857,1049,339,339,2026-05-03T22:49:19.221401+00:00,2026-05-03T23:00:58.667437+00:00,339,True,,3,False,fewer_than_5_same_pass_gps_fixes,True,-2.2329643985300334,1.113730774415455,-45.20142551526909,2.6326719888630556,2,False,16.744291818269637,16.746021052133266,0.3073251924913507,0.3090410581289418
FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,TROLL,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T23:28:25.108077+00:00,2026-05-03T23:44:45.634323+00:00,2309,812,322,322,2026-05-03T23:31:14.182410+00:00,2026-05-03T23:39:09.458704+00:00,322,True,,7,True,,True,-2.7698235502156416,3.8479317620341402,-63.312276709795945,7.615296745244473,2,False,19.555461530378675,19.548824703108316,1.3903990627993104,1.400081691473934
FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,AWARUA,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-04T01:20:16.264068+00:00,2026-05-04T01:35:43.599906+00:00,2485,928,342,342,2026-05-04T01:23:19.261813+00:00,2026-05-04T01:32:09.500393+00:00,337,True,,8,True,,True,-3.042295412337625,4.054912236917911,763.898589633318,7.786734275390266,2,False,21.39124974619928,21.386812150053956,1.585250330942805,1.5904601822944582
FOREST-18,7f6f30f5-0820-469d-9ab6-71b9523e8939,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-04T01:58:39.310713+00:00,2026-05-04T02:16:15.689935+00:00,2805,1024,170,170,2026-05-04T02:01:18.301457+00:00,2026-05-04T02:08:06.448033+00:00,170,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,PUNTA_ARENAS,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-04T04:13:06.056800+00:00,2026-05-04T04:28:39.548511+00:00,2504,934,212,212,2026-05-04T04:16:11.165606+00:00,2026-05-04T04:24:33.539715+00:00,212,False,fewer_than_301_presented_doppler_measurements,9,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,4a452e93-b302-4029-b583-7e0e061cbc64,SVALSAT,recorded_only,2026-05-03T09:23:21.992928Z,1 90919U 00000AAA 26123.39122677  .00000000  00000-0  15851-2 0  9991,2 90919  97.7594  21.4292 0002309 187.8308 131.5480 14.92510159    09,2026-05-03T09:40:41.142928+00:00,2026-05-03T10:09:28.976325+00:00,4097,1685,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,827d2f56-abc5-46cf-97b9-bc8883c9acca,SVALSAT,recorded_only,2026-05-03T09:23:21.992928Z,1 90919U 00000AAA 26123.39122677  .00000000  00000-0  15851-2 0  9991,2 90919  97.7594  21.4292 0002309 187.8308 131.5480 14.92510159    09,2026-05-03T09:46:29.065422+00:00,2026-05-03T10:04:28.670885+00:00,2855,1064,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
