satellite,contact_id,station,start_utc_s,end_utc_s,observations,batch_offset_s,batch_offset_std_s,batch_offset_variance_s2,batch_covariance,batch_frequency_bias_hz,batch_doppler_rmse_hz,batch_condition,batch_rank,batch_at_bound,batch_healthy,in_pass_prior_fixes,in_pass_prior_best_km,in_pass_prior_median_km,in_pass_prior_p90_km,in_pass_prior_worst_km,in_pass_prior_rms_km,in_pass_batch_fixes,in_pass_batch_best_km,in_pass_batch_median_km,in_pass_batch_p90_km,in_pass_batch_worst_km,in_pass_batch_rms_km
FOREST-16,b2bd28a8-6704-4a67-bd8b-2c84fb0473bc,AWARUA,1777804278.426844,1777804777.754525,297,0.7185844024879408,1.4483433686368985,2.0976985134744788,"((2.0976985134744788, 414.02749101407846), (414.0274910140785, 144032.8348626516))",693.4791157205599,17111.493019670674,3.026871166747741,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
FOREST-16,1c36ca34-a985-4809-9ca7-65e422e6c47d,SVALSAT,1777813631.460412,1777814086.719821,187,14.122780845919804,19.521295485788347,381.0809774434605,"((381.0809774434605, 48695.8836581822), (48695.88365818221, 6621236.1513300715))",1842.0891200754663,33754.94033057417,8.254504585892166,2,False,True,7,5.726806629872116,5.9427329225141685,6.126707366301299,6.170951172279038,5.9481306714911675,7,100.6781597827411,100.90195654933459,101.07325154182539,101.11536110474059,100.89899250245934
FOREST-16,e5d79f0b-730b-4832-becf-f716d7322784,PUNTA_ARENAS,1777822935.405285,1777823399.655731,340,3.7699129155484776,1.5938329471406811,2.540303463391149,"((2.540303463391149, 518.5368915430262), (518.5368915430261, 177040.61164593403))",975.1381737014065,23177.2647843859,3.1787705898044565,2,False,True,6,9.26015260610771,9.31043794724118,9.34389351338773,9.349453172377542,9.309157091961433,6,19.11156967984535,19.15447413981539,19.19732355725504,19.212489182789763,19.156562085162044
FOREST-16,bcec2df5-c0d0-4e89-91ae-f0568424de8a,SVALSAT,1777831240.5203478,1777831327.617611,44,-119.999999999958,181.3125131160429,32874.22741245523,"((32874.22741245523, 2133715.5956106656), (2133715.595610665, 140284509.80874792))",-10988.043732604192,36752.1764212396,25.98302747747408,2,True,False,2,11.34074427535167,11.371579636599861,11.396247925598413,11.402414997848052,11.371621443357842,2,918.2361979742259,918.2683578767671,918.2940857988001,918.3005177793084,918.2683584399246
FOREST-16,82723fb0-59f4-4de8-ac05-f9f3d9a7dcc7,SVALSAT,1777837188.218286,1777837489.403602,252,2.4637923094781278,6.235973726448641,38.887368316957755,"((38.887368316957755, 7140.00977054428), (7140.00977054428, 1347440.464558648))",974.3879405061698,20280.09037834001,12.146791675664886,2,False,True,1,12.950293278848417,12.950293278848417,12.950293278848417,12.950293278848417,12.950293278848417,1,5.722156160748304,5.722156160748304,5.722156160748304,5.722156160748304,5.722156160748304
FOREST-16,7cb89272-0ba6-4eaf-8445-917ec34e727e,HARTEBEESTHOEK,1777844425.189144,1777845063.539207,192,12.14938122102694,14.92480836755714,222.74990480830365,"((222.74990480830365, 27649.705216715458), (27649.705216715458, 3627365.2801070185))",1445.4727923368177,35462.819281907796,8.816451189000276,2,False,True,11,15.054914194968465,15.182686309364458,15.251052261296453,15.267563967671647,15.172291549182017,11,76.610090294748,76.65124707566999,76.70922370419372,76.72727405280682,76.66008520676401
FOREST-16,2a45c0d3-c3e9-45e8-a11f-5dbf6bda0693,SVALSAT,1777848561.113395,1777848709.208673,110,-0.32631064982601926,20.118235438679662,404.7433971661463,"((404.7433971661463, 10482.608771916557), (10482.608771916557, 315422.6011070713))",781.8926944812428,14230.258224268722,16.385625369287258,2,False,True,2,16.206262044158194,16.233246485246106,16.25483403811644,16.26023092633402,16.233268913278554,2,18.67324995538288,18.700259655301707,18.721867415236765,18.727269355220532,18.700279161007042
FOREST-16,33061519-fa11-49e4-becd-6c770efd6e11,SVALSAT,1777854410.187208,1777854992.536875,475,2.281825855467873,0.74598812489061,0.5564982824778083,"((0.5564982824778083, 112.46698291043035), (112.46698291043037, 45847.915000852176))",648.128327219715,17676.76772900084,2.897891514748266,2,False,True,1,18.16635229061981,18.16635229061981,18.16635229061981,18.16635229061981,18.16635229061981,1,1.014236929240361,1.014236929240361,1.014236929240361,1.014236929240361,1.014236929240361
FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,PUNTA_ARENAS,1777862359.219744,1777862996.5238569,401,3.197873916939136,0.9393951546153176,0.8824632565147364,"((0.8824632565147364, 223.17574835914712), (223.1757483591472, 93736.0707187124))",729.8130679846337,28473.30437865472,3.635859892664164,2,False,True,11,21.0522682879553,21.1402658435308,21.182288198950726,21.189055952485088,21.13257476311278,11,2.9776941140437674,3.0134519445021715,3.0730506451966777,3.0926698832287123,3.0222481788933777
FOREST-17,dc06b459-269d-446a-97ef-9b6febcd8679,SVALSAT,1777807731.196429,1777808293.4654138,247,-2.419113708543626,6.103649986087117,37.254543152661256,"((37.254543152661256, 5270.590304648537), (5270.590304648539, 868995.8421003759))",5253.237717667704,19730.503986325126,5.134202355433385,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
