configuration,spacecraft,cohort,denominator,statuses,local_successful,local_scored,local_median_rms_m,forecast_successful,forecast_scored,forecast_median_rms_m,target_achieved
L+n/archived-control,FOREST-16,all,8,"{""converged"": 8}",0,8,829034.0075734778,0,8,8504571.236302977,False
L+n/archived-control,FOREST-16,matched,1,"{""converged"": 1}",0,1,175584.9304046261,0,1,5830165.057264869,False
L+n/archived-control,FOREST-17,all,9,"{""converged"": 9}",0,9,471332.4689488379,0,9,8339744.019924947,False
L+n/archived-control,FOREST-17,matched,1,"{""converged"": 1}",0,1,479244.7847646326,0,1,4896472.89013564,False
L+n/archived-control,FOREST-18,all,11,"{""converged"": 11}",0,11,181094.60274409753,0,11,7005088.022577549,False
L+n/archived-control,FOREST-18,matched,1,"{""converged"": 1}",0,1,1481627.1840756286,0,1,2629802.7578863897,False
L+n/archived-control,FOREST-19,all,10,"{""converged"": 10}",0,10,143615.30472035424,0,10,7244145.899129018,False
L+n/archived-control,FOREST-19,matched,3,"{""converged"": 3}",0,3,129109.60689181309,0,3,6577191.415520862,False
L+n/archived-robust,pooled,all,38,"{""converged"": 31, ""screening_failed"": 7}",0,31,20333.156280413525,0,31,1205044.7976773195,False
L+n/archived-robust,pooled,matched,6,"{""converged"": 6}",0,6,20151.343368467307,0,6,480449.662412578,False
L+n/archived-robust,FOREST-16,all,8,"{""converged"": 7, ""screening_failed"": 1}",0,7,20333.156280413525,0,7,1328289.0116317333,False
L+n/archived-robust,FOREST-16,matched,1,"{""converged"": 1}",0,1,18876.443857205286,0,1,238138.15280232584,False
L+n/archived-robust,FOREST-17,all,9,"{""screening_failed"": 2, ""converged"": 7}",0,7,26857.417811303654,0,7,2896828.7897680304,False
L+n/archived-robust,FOREST-17,matched,1,"{""converged"": 1}",0,1,9261.283491054082,0,1,268107.6188309732,False
L+n/archived-robust,FOREST-18,all,11,"{""converged"": 8, ""screening_failed"": 3}",0,8,16764.981479732698,0,8,1284748.026012547,False
L+n/archived-robust,FOREST-18,matched,1,"{""converged"": 1}",0,1,50911.55754854548,0,1,5654158.113978092,False
L+n/archived-robust,FOREST-19,all,10,"{""converged"": 9, ""screening_failed"": 1}",0,9,15399.769447127293,0,9,460047.4722291606,False
L+n/archived-robust,FOREST-19,matched,3,"{""converged"": 3}",0,3,21426.24287972933,0,3,692791.7059941827,False
L+n/condition,pooled,all,38,"{""selection_failed"": 5, ""converged"": 26, ""screening_failed"": 7}",0,26,14253.688543582313,0,26,33596.14991395724,False
L+n/condition,pooled,matched,6,"{""converged"": 6}",0,6,16309.275454302795,0,6,29786.391486432934,False
L+n/condition,FOREST-16,all,8,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 1}",0,6,14735.01565855764,0,6,33716.93173881668,False
L+n/condition,FOREST-16,matched,1,"{""converged"": 1}",0,1,18841.049042644085,0,1,31225.545506385668,False
L+n/condition,FOREST-17,all,9,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 2}",0,6,15282.773859208639,0,6,33254.672730605176,False
L+n/condition,FOREST-17,matched,1,"{""converged"": 1}",0,1,9223.9714947064,0,1,21305.998057513276,False
L+n/condition,FOREST-18,all,11,"{""screening_failed"": 3, ""selection_failed"": 2, ""converged"": 6}",0,6,11966.186263688058,0,6,43872.30685434413,False
L+n/condition,FOREST-18,matched,1,"{""converged"": 1}",0,1,19032.34192945046,0,1,30999.75275562427,False
L+n/condition,FOREST-19,all,10,"{""selection_failed"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,14637.852840603508,0,8,32571.341783956756,False
L+n/condition,FOREST-19,matched,3,"{""converged"": 3}",0,3,13777.501865961503,0,3,28573.0302172416,False
L+n/trace,pooled,all,38,"{""selection_failed"": 5, ""converged"": 26, ""screening_failed"": 7}",0,26,13933.260076953433,0,26,33981.999183508815,False
L+n/trace,pooled,matched,6,"{""converged"": 6}",0,6,16309.275454302795,0,6,32233.70834481935,False
L+n/trace,FOREST-16,all,8,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 1}",0,6,14735.01565855764,0,6,33716.93173881668,False
L+n/trace,FOREST-16,matched,1,"{""converged"": 1}",0,1,18841.049042644085,0,1,31225.545506385668,False
L+n/trace,FOREST-17,all,9,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 2}",0,6,15282.773859208639,0,6,33254.672730605176,False
L+n/trace,FOREST-17,matched,1,"{""converged"": 1}",0,1,9644.145175512725,0,1,21531.572614743713,False
L+n/trace,FOREST-18,all,11,"{""screening_failed"": 3, ""selection_failed"": 2, ""converged"": 6}",0,6,12260.251816570253,0,6,67474.24973706529,False
L+n/trace,FOREST-18,matched,1,"{""converged"": 1}",0,1,22291.23186696239,0,1,75733.82930495744,False
