configuration,spacecraft,cohort,denominator,statuses,local_successful,local_scored,local_median_rms_m,forecast_successful,forecast_scored,forecast_median_rms_m,target_achieved
six/archived-robust,FOREST-18,matched,1,"{""converged"": 1}",0,1,580430.4578840663,0,1,4310387.087379063,False
six/archived-robust,FOREST-19,all,10,"{""converged"": 8, ""fit_error"": 1, ""screening_failed"": 1}",0,8,272503.65890839975,0,7,3113239.3247546093,False
six/archived-robust,FOREST-19,matched,3,"{""fit_error"": 1, ""converged"": 2}",0,2,151658.1093432971,0,2,1734252.9688069783,False
six/condition,pooled,all,38,"{""selection_failed"": 5, ""converged"": 26, ""screening_failed"": 7}",4,26,12709.005087520309,0,26,67344.0440218536,False
six/condition,pooled,matched,6,"{""converged"": 6}",2,6,6363.449278599952,0,6,25405.401318531036,False
six/condition,FOREST-16,all,8,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 1}",2,6,10949.900652390177,0,6,25269.942648594875,False
six/condition,FOREST-16,matched,1,"{""converged"": 1}",1,1,3723.1114316236326,0,1,20398.901526410868,False
six/condition,FOREST-17,all,9,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 2}",2,6,42551.50724926178,0,6,252329.75137076434,False
six/condition,FOREST-17,matched,1,"{""converged"": 1}",1,1,3707.2789327537184,0,1,23599.172984398876,False
six/condition,FOREST-18,all,11,"{""screening_failed"": 3, ""selection_failed"": 2, ""converged"": 6}",0,6,12627.094679062235,0,6,25733.228452570387,False
six/condition,FOREST-18,matched,1,"{""converged"": 1}",0,1,12073.678235103745,0,1,14996.35464177866,False
six/condition,FOREST-19,all,10,"{""selection_failed"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,9987.85384874518,0,8,74521.40637960505,False
six/condition,FOREST-19,matched,3,"{""converged"": 3}",0,3,7073.31452578215,0,3,40031.10734756894,False
six/trace,pooled,all,38,"{""selection_failed"": 5, ""converged"": 26, ""screening_failed"": 7}",6,26,11353.8153165931,0,26,70006.40123576371,False
six/trace,pooled,matched,6,"{""converged"": 6}",3,6,5243.311524000246,0,6,28630.376663186336,False
six/trace,FOREST-16,all,8,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 1}",2,6,10949.900652390177,0,6,25269.942648594875,False
six/trace,FOREST-16,matched,1,"{""converged"": 1}",1,1,3723.1114316236326,0,1,20398.901526410868,False
six/trace,FOREST-17,all,9,"{""selection_failed"": 1, ""converged"": 6, ""screening_failed"": 2}",2,6,42551.50724926178,0,6,252329.75137076434,False
six/trace,FOREST-17,matched,1,"{""converged"": 1}",1,1,4833.0390165827375,0,1,67430.99427151582,False
six/trace,FOREST-18,all,11,"{""screening_failed"": 3, ""selection_failed"": 2, ""converged"": 6}",1,6,9322.016367578079,0,6,17586.249109861063,False
six/trace,FOREST-18,matched,1,"{""converged"": 1}",0,1,10283.469407793988,0,1,12755.246898195313,False
six/trace,FOREST-19,all,10,"{""selection_failed"": 1, ""converged"": 8, ""screening_failed"": 1}",1,8,9748.737875587181,0,8,74521.40637960505,False
six/trace,FOREST-19,matched,3,"{""converged"": 3}",1,3,5653.584031417754,0,3,30049.123673709477,False
