experiment,model,satellite,contact_id,station,success,message,observations,gps_fixes,primary,time_offset_s,pass_bias_hz,position_median_km,position_rms_km,prior_position_median_km,reason
time_offset,sgp4,FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,PUNTA_ARENAS,True,`xtol` termination condition is satisfied.,471,9,True,0.14388335050690984,949.8725930797534,11.063719073624142,11.059173589808296,9.976910069502704,
time_offset,sgp4,FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,TROLL,True,`ftol` termination condition is satisfied.,341,10,True,-2.182332255808789,128.2780989823503,1.2007214282190242,1.227828732707644,15.349548425016206,
time_offset,sgp4,FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,SVALSAT,True,`ftol` termination condition is satisfied.,336,4,False,-2.5808535481177466,161.48162866366107,5.070191584719177,5.068712818193701,14.462723787422819,
time_offset,sgp4,FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,SVALSAT,True,`ftol` termination condition is satisfied.,339,3,False,-2.2194815991545993,-47.06142580404348,0.2717387025027642,0.2742856200583349,16.743338805035776,
time_offset,sgp4,FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,TROLL,True,`ftol` termination condition is satisfied.,322,7,True,-2.791989700232727,-65.30288346474725,1.5549904295030164,1.5644340501654244,19.55422191216549,
time_offset,sgp4,FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,AWARUA,True,`ftol` termination condition is satisfied.,337,8,True,-2.9574901075921507,765.8558948513902,0.9480655138769415,0.9535593228826529,21.389293101859437,
