passes,profile,spacecraft,contact_id,status,reason,local_rms_km,forecast_rms_km,local_failure,forecast_failure,local_reference_status,forecast_reference_status,nfev,njev,runtime_s
5,cohort,FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
5,cohort,FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
5,cohort,FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
5,cohort,FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,converged,`ftol` termination condition is satisfied.,4.035,36.956,,,accepted,candidate,8,7,23.37908489700021
5,cohort,FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,converged,`ftol` termination condition is satisfied.,4.146,42.222,,,accepted,candidate,11,9,24.861096810000163
5,cohort,FOREST-18,7f6f30f5-0820-469d-9ab6-71b9523e8939,converged,`ftol` termination condition is satisfied.,3.431,46.008,,,accepted,candidate,11,9,20.398313662000874
5,cohort,FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,converged,`ftol` termination condition is satisfied.,2.890,30.129,,,accepted,candidate,10,8,17.879558728999655
5,cohort,FOREST-19,a22fbafe-9e67-4eb3-b02b-7f108aa1b80b,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
5,cohort,FOREST-19,f80c6227-6cc9-441f-ae4f-13c37b361b00,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
5,cohort,FOREST-19,2e914640-332d-4846-8126-0c7d58e2a568,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
5,cohort,FOREST-19,399cf06a-3730-4818-8f75-270388e8fd0a,converged,`ftol` termination condition is satisfied.,147.222,334.160,,,candidate,candidate,8,8,7.362564176999513
5,cohort,FOREST-19,d2af3474-5932-431d-ae42-c7ce901c93ba,converged,`ftol` termination condition is satisfied.,7.296,21.385,,,candidate,candidate,7,6,10.654736867998508
5,cohort,FOREST-19,5d035d45-52f9-4d77-86fa-7e4917f23992,converged,`ftol` termination condition is satisfied.,9.473,67.306,,,candidate,candidate,7,6,10.627752164999038
5,cohort,FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,converged,`ftol` termination condition is satisfied.,13.900,14.445,,,candidate,candidate,7,6,11.808672152000327
5,cohort,FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,converged,`ftol` termination condition is satisfied.,3.224,21.435,,,candidate,candidate,9,8,16.957803922000494
5,cohort,FOREST-19,c862d412-bfa6-4ff1-bd12-935e690521fb,screening_failed,,unavailable,unavailable,,,candidate,candidate,,,
5,cohort,FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,converged,`ftol` termination condition is satisfied.,1.540,21.109,,,candidate,candidate,10,8,16.330600509999385
6,baseline,FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,converged,`ftol` termination condition is satisfied.,5.651,6.902,,,accepted,candidate,15,13,22.138059795999652
6,baseline,FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,converged,`ftol` termination condition is satisfied.,4.205,56.388,,,accepted,accepted,11,9,19.38781049699992
6,baseline,FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,converged,`ftol` termination condition is satisfied.,1.572,29.275,,,accepted,candidate,9,8,22.526112474999536
6,baseline,FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,converged,`ftol` termination condition is satisfied.,8.483,118.192,,,candidate,candidate,9,8,12.961024829999587
6,baseline,FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,converged,`ftol` termination condition is satisfied.,3.067,10.711,,,candidate,candidate,14,12,18.759535256000163
6,baseline,FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,converged,`ftol` termination condition is satisfied.,1.747,18.508,,,candidate,candidate,10,9,19.0967673060004
6,winner,FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,converged,`ftol` termination condition is satisfied.,4.563,6.327,,,accepted,candidate,13,11,24.123348694000015
6,winner,FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,converged,`ftol` termination condition is satisfied.,5.002,55.734,,,accepted,accepted,8,7,21.94963610800005
6,winner,FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,converged,`ftol` termination condition is satisfied.,2.322,31.883,,,accepted,candidate,9,8,25.386287032000837
6,winner,FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,converged,`ftol` termination condition is satisfied.,5.749,121.878,,,candidate,candidate,6,5,14.001784861999113
6,winner,FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,converged,`ftol` termination condition is satisfied.,2.850,6.768,,,candidate,candidate,9,7,19.722059808998893
6,winner,FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,converged,`ftol` termination condition is satisfied.,1.767,15.158,,,candidate,candidate,9,8,20.498920337999152
6,cohort,FOREST-16,1c36ca34-a985-4809-9ca7-65e422e6c47d,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-16,e5d79f0b-730b-4832-becf-f716d7322784,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-16,bcec2df5-c0d0-4e89-91ae-f0568424de8a,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-16,82723fb0-59f4-4de8-ac05-f9f3d9a7dcc7,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-16,7cb89272-0ba6-4eaf-8445-917ec34e727e,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-16,2a45c0d3-c3e9-45e8-a11f-5dbf6bda0693,converged,`ftol` termination condition is satisfied.,6.304,22.890,,,accepted,candidate,7,6,14.174260859999777
6,cohort,FOREST-16,33061519-fa11-49e4-becd-6c770efd6e11,converged,`ftol` termination condition is satisfied.,3.336,49.883,,,accepted,candidate,12,10,19.36829449600009
6,cohort,FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,converged,`ftol` termination condition is satisfied.,4.563,6.327,,,accepted,candidate,13,11,24.123348694000015
6,cohort,FOREST-17,6569e3a1-7aa1-4ff3-a2c0-cd1cd88fd85a,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
6,cohort,FOREST-17,5233c319-41fd-4896-847f-112ddfe9c56d,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
6,cohort,FOREST-17,74df0163-cf66-41f9-b960-409fca756c93,screening_failed,,unavailable,unavailable,,,accepted,accepted,,,
6,cohort,FOREST-17,2610bd5f-3a3f-4756-be38-d31392d4324c,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
6,cohort,FOREST-17,36c92afa-8853-4630-a788-ad2e63912d51,warm_up,,unavailable,unavailable,,,accepted,accepted,,,
6,cohort,FOREST-17,d61bfc77-1d1c-4e82-91fd-6e7489e73cb3,converged,`ftol` termination condition is satisfied.,9.681,50.086,,,accepted,accepted,10,8,14.863193402999968
6,cohort,FOREST-17,d623db96-56fd-4783-9f1e-bf3933f4dbd8,converged,`ftol` termination condition is satisfied.,5.351,51.381,,,accepted,accepted,8,7,18.08189276700068
6,cohort,FOREST-17,01448cbd-3659-4184-89c2-7883e4a3c6c7,screening_failed,,unavailable,unavailable,,,accepted,accepted,,,
6,cohort,FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,converged,`ftol` termination condition is satisfied.,5.002,55.734,,,accepted,accepted,8,7,21.94963610800005
6,cohort,FOREST-18,6d7785df-a7a7-4963-8fcc-bdebf3a6dc80,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-18,b2015720-f0bb-48e7-b19a-131a592c9501,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-18,6c22b929-f451-4e3f-bc5d-fc4e230c6c02,screening_failed,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
6,cohort,FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,warm_up,,unavailable,unavailable,,,accepted,candidate,,,
