satellite,contact_id,station,raw_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,presented_samples,eligible,metadata_constant,raw_start_utc,raw_end_utc,presented_start_utc,presented_end_utc,gps_fixes_in_presented_window
FOREST-18,6d7785df-a7a7-4963-8fcc-bdebf3a6dc80,TROLL,2323,774,72,72,71,False,True,2026-05-03T12:22:00.107874+00:00,2026-05-03T12:34:55+00:00,2026-05-03T12:24:13.202667+00:00,2026-05-03T12:34:40.516597+00:00,10
FOREST-18,f1550be3-6ca0-48b2-bd87-da21c1e885b6,SVALSAT,3636,1538,0,0,0,False,True,2026-05-03T12:56:19.140207+00:00,2026-05-03T13:22:20.084922+00:00,,,0
FOREST-18,a5dc9c5c-0fb7-4bc9-9ba3-89a37ff6fac1,SVALSAT,1756,628,0,0,0,False,True,2026-05-03T13:06:52+00:00,2026-05-03T13:17:49.469197+00:00,,,0
FOREST-18,b2015720-f0bb-48e7-b19a-131a592c9501,PUNTA_ARENAS,3608,1525,29,29,29,False,True,2026-05-03T13:56:45.053388+00:00,2026-05-03T14:22:37.918427+00:00,2026-05-03T14:08:47.471582+00:00,2026-05-03T14:10:39.528736+00:00,2
FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,PUNTA_ARENAS,4017,1663,487,487,471,True,True,2026-05-03T17:07:14.061741+00:00,2026-05-03T17:35:22.002084+00:00,2026-05-03T17:18:55.440628+00:00,2026-05-03T17:28:01.741531+00:00,9
FOREST-18,6c22b929-f451-4e3f-bc5d-fc4e230c6c02,SVALSAT,3624,1535,32,32,32,False,True,2026-05-03T17:50:01.097961+00:00,2026-05-03T18:15:55.085095+00:00,2026-05-03T18:00:37.493457+00:00,2026-05-03T18:01:43.556265+00:00,1
FOREST-18,5f62261f-f193-475b-ad2d-94a8b9fd0e75,SVALSAT,1676,581,0,0,0,False,True,2026-05-03T18:00:19+00:00,2026-05-03T18:10:18.481309+00:00,,,0
FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,TROLL,2557,892,341,341,341,True,True,2026-05-03T20:15:20.081551+00:00,2026-05-03T20:33:08.697798+00:00,2026-05-03T20:18:25.198752+00:00,2026-05-03T20:28:19.546636+00:00,10
FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,SVALSAT,2117,697,339,339,336,True,True,2026-05-03T21:12:35.105666+00:00,2026-05-03T21:24:38+00:00,2026-05-03T21:13:16.051067+00:00,2026-05-03T21:23:40.437676+00:00,4
FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,SVALSAT,2857,1049,339,339,339,True,True,2026-05-03T22:47:18.129477+00:00,2026-05-03T23:04:57.723599+00:00,2026-05-03T22:49:19.221401+00:00,2026-05-03T23:00:58.667437+00:00,3
FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,TROLL,2309,812,322,322,322,True,True,2026-05-03T23:28:25.108077+00:00,2026-05-03T23:44:45.634323+00:00,2026-05-03T23:31:14.182410+00:00,2026-05-03T23:39:09.458704+00:00,7
