satellite,contact_id,station,tle_role,tle_epoch_utc,tle_line1,tle_line2,recorded_start_utc,recorded_end_utc,accepted_start_utc,accepted_end_utc,raw_telemetry_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,accepted_doppler_measurements,gps_fixes_in_window,fitted,status,time_correction_s,time_correction_std_s,frequency_correction_hz,batch_healthy,prior_median_error_km,corrected_median_error_km
FOREST-16,85ec563d-ecb0-4c0b-9b2d-eeb9cec80587,SVALSAT,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T01:58:43.060348+00:00,2026-05-04T02:16:21.696483+00:00,2026-05-04T02:01:32.182395+00:00,2026-05-04T02:01:37.178550+00:00,2843,1042,6,6,6,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,PUNTA_ARENAS,analysis_prior,2026-05-03T09:21:26.64288Z,1 90916U 00000AAA 26123.38989170  .00000000  00000-0  15851-2 0  9996,2 90916  97.7445  21.6711 0001088 184.3194 124.1089 14.91831094    03,2026-05-04T02:35:53.050254+00:00,2026-05-04T02:53:42.663590+00:00,2026-05-04T02:39:19.219744+00:00,2026-05-04T02:49:56.523857+00:00,2912,1070,405,405,401,11,True,Primary contact,3.197873916939136,0.9393951546153176,729.8130679846337,True,21.1402658435308,3.0134519445021715
FOREST-17,c12b9960-e925-4286-9cd1-6a887d4e8289,SVALSAT,recorded_only,2026-05-03T09:21:23.693184Z,1 90917U 00000AAA 26123.38985756  .00000000  00000-0  15851-2 0  9993,2 90917  97.7557  21.4315 0006146 306.8621   5.1791 14.90827857    01,2026-05-03T09:40:38.191475+00:00,2026-05-03T10:09:32.948508+00:00,,,4150,1709,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,75d4144d-d3fc-4e18-8f14-b17da65092cb,AWARUA,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T10:30:06.106340+00:00,2026-05-03T10:42:51+00:00,,,2295,765,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,118e1a7d-4ae2-4982-a40b-7d6eb0ead2e4,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T10:36:52.106507+00:00,2026-05-03T11:06:10.080052+00:00,,,3689,1464,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,dc06b459-269d-446a-97ef-9b6febcd8679,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T11:27:41.154902+00:00,2026-05-03T11:38:44+00:00,2026-05-03T11:28:51.196429+00:00,2026-05-03T11:38:13.465414+00:00,1979,658,247,247,247,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,0a2e4679-2976-4bed-bd7a-ffd4f45e0a60,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T12:22:12+00:00,2026-05-03T12:35:06.543016+00:00,,,2085,655,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,6569e3a1-7aa1-4ff3-a2c0-cd1cd88fd85a,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T12:56:30.150282+00:00,2026-05-03T13:22:38.992042+00:00,2026-05-03T13:07:21.493384+00:00,2026-05-03T13:14:53.798579+00:00,3617,1525,213,213,213,8,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,4ef3b909-6d7f-460d-bf48-41aed65abf0a,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T13:48:19.093456+00:00,2026-05-03T14:17:19.125152+00:00,,,3659,1458,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,5233c319-41fd-4896-847f-112ddfe9c56d,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T16:58:11.141154+00:00,2026-05-03T17:26:34.092114+00:00,2026-05-03T17:10:33.509256+00:00,2026-05-03T17:18:29.828082+00:00,3550,1422,264,264,264,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,74df0163-cf66-41f9-b960-409fca756c93,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T17:50:30.174645+00:00,2026-05-03T18:16:35.006705+00:00,2026-05-03T18:01:08.495501+00:00,2026-05-03T18:02:21.531640+00:00,3680,1558,51,51,51,1,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,2610bd5f-3a3f-4756-be38-d31392d4324c,HARTEBEESTHOEK,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T20:03:32.133648+00:00,2026-05-03T20:20:55.764887+00:00,2026-05-03T20:04:03.162277+00:00,2026-05-03T20:13:59.537732+00:00,2834,1044,368,368,349,7,True,Primary contact,-4.135697065127946,2.1103180386117324,-929.8994330315712,True,6.3950857702494766,24.85577728130217
FOREST-17,36c92afa-8853-4630-a788-ad2e63912d51,TROLL,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T21:51:59.119639+00:00,2026-05-03T22:09:43.700544+00:00,2026-05-03T21:54:34.185557+00:00,2026-05-03T22:04:24.590709+00:00,2544,889,370,370,370,10,True,Primary contact,-0.441063265943708,1.1163939117664061,71.97295228550098,True,7.186209699729114,3.8574238914078327
FOREST-17,d61bfc77-1d1c-4e82-91fd-6e7489e73cb3,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-03T22:48:07.142387+00:00,2026-05-03T23:05:54.694529+00:00,2026-05-03T22:50:05.198813+00:00,2026-05-03T22:53:09.312098+00:00,2859,1046,103,103,103,2,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,d623db96-56fd-4783-9f1e-bf3933f4dbd8,PUNTA_ARENAS,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-04T01:02:54.061707+00:00,2026-05-04T01:18:41.547445+00:00,2026-05-04T01:06:44.176799+00:00,2026-05-04T01:13:48.439478+00:00,2545,947,344,344,344,5,True,Primary contact,-0.5086520483805009,3.4013953877676983,755.4267061007951,True,8.336725343213235,4.499702101921929
